Model,Gamma,Lamb,s0h,H,M,k,Sb,Added,CV2D,Strain
Comm,0,1,1.2,0.85,24,34.5271492004,0.4071428571,1.0900380349,0.0267763928,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,0.5142857143,1.0428117922,0.0283686442,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,0.6214285714,1.0021573408,0.0297436972,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,0.7285714286,0.9668558448,0.0309283315,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,0.8357142857,0.9359620898,0.0319480687,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,0.9428571429,0.9087324943,0.0328261009,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,1.05,0.8845753366,0.0335828737,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,1.1571428571,0.8630150321,0.0342360671,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,1.2642857143,0.8436658887,0.0348007854,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,1.3714285714,0.8262125071,0.0352898386,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,1.4785714286,0.81039496,0.0357140483,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,1.5857142857,0.7959974667,0.0360825409,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,1.6928571429,0.7828396585,0.0364030132,Str3
Comm,0,1,1.2,0.85,24,34.5271492004,1.8,0.7707697853,0.0366819626,Str3
Pow,0,1.4,0,0,24,16.0431785583,0.3,1.1170374347,0.0266747326,Str3
Pow,0,1.4,0,0,24,16.0431785583,0.4071428571,1.0710481028,0.0280285595,Str3
Pow,0,1.4,0,0,24,16.0431785583,0.5142857143,1.0307136974,0.0291902551,Str3
Pow,0,1.4,0,0,24,16.0431785583,0.6214285714,0.9949004266,0.0301938945,Str3
Pow,0,1.4,0,0,24,16.0431785583,0.7285714286,0.9627983312,0.0310653792,Str3
Pow,0,1.4,0,0,24,16.0431785583,0.8357142857,0.933799304,0.0318252505,Str3
Pow,0,1.4,0,0,24,16.0431785583,0.9428571429,0.9074315433,0.0324901618,Str3
Pow,0,1.4,0,0,24,16.0431785583,1.05,0.8833202748,0.0330737901,Str3
Pow,0,1.4,0,0,24,16.0431785583,1.1571428571,0.8611624001,0.0335874659,Str3
Pow,0,1.4,0,0,24,16.0431785583,1.2642857143,0.8407092423,0.0340406385,Str3
Pow,0,1.4,0,0,24,16.0431785583,1.3714285714,0.8217543322,0.034441232,Str3
Pow,0,1.4,0,0,24,16.0431785583,1.4785714286,0.804124499,0.0347959251,Str3
Pow,0,1.4,0,0,24,16.0431785583,1.5857142857,0.7876732141,0.0351103727,Str3
Pow,0,1.4,0,0,24,16.0431785583,1.6928571429,0.7722755231,0.0353893845,Str3
Pow,0,1.4,0,0,24,16.0431785583,1.8,0.7578241228,0.0356370685,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,0.3,1.1984942725,0.0294692666,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,0.4071428571,1.126172663,0.0315774251,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,0.5142857143,1.0654613364,0.0329864926,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,0.6214285714,1.0148858297,0.033779903,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,0.7285714286,0.9727988457,0.0340960728,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,0.8357142857,0.9376598801,0.0340737011,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,0.9428571429,0.908147903,0.0338273281,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,1.05,0.8831803279,0.0334422859,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,1.1571428571,0.8618903286,0.0329782839,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,1.2642857143,0.8435910545,0.0324753598,Str3
Deg,0.9704060528,1,0,0,46,50.7739028931,1.3714285714,0.8277398217,0.0319594726,Str3
